id_leitura,id_unidade,id_usina,data_hora,geracao_mwh,consumo_combustivel,disponibilidade,temperatura_c
60,60,12,2025-06-01 00:00:00,50.45,10.372,0.9742,44.3
61,61,12,2025-06-01 00:00:00,50.755,9.056,0.9343,76.2
62,62,12,2025-06-01 00:00:00,60.841,11.573,0.9251,89.5
63,63,12,2025-06-01 00:00:00,46.677,9.119,0.9829,37.6
64,64,13,2025-06-01 00:00:00,77.663,13.609,0.998,44.7
65,65,13,2025-06-01 00:00:00,80.537,15.965,0.9561,41.7
66,66,13,2025-06-01 00:00:00,93.893,18.557,0.9149,37.2
67,67,14,2025-06-01 00:00:00,0.0,0.0,0.9369,44.3
68,68,14,2025-06-01 00:00:00,0.0,0.0,0.943,26.5
69,69,14,2025-06-01 00:00:00,0.0,0.0,0.9365,57.7
70,70,14,2025-06-01 00:00:00,0.0,0.0,0.9972,26.4
71,71,14,2025-06-01 00:00:00,0.0,0.0,0.9358,48.9
72,72,14,2025-06-01 00:00:00,0.0,0.0,0.9667,37.4
73,73,14,2025-06-01 00:00:00,0.0,0.0,0.956,55.6
74,74,15,2025-06-01 00:00:00,10.207,2.041,0.9926,49.2
75,75,15,2025-06-01 00:00:00,7.885,1.593,0.9177,59.7
76,76,15,2025-06-01 00:00:00,7.933,1.642,0.9782,59.7
77,77,15,2025-06-01 00:00:00,9.337,1.862,0.9248,44.6
78,78,15,2025-06-01 00:00:00,9.427,1.747,0.9039,63.2
79,79,15,2025-06-01 00:00:00,7.991,1.652,0.935,84.2
80,80,15,2025-06-01 00:00:00,9.914,1.774,0.966,58.9
81,81,15,2025-06-01 00:00:00,8.217,1.42,0.9773,56.1
82,1,1,2025-06-01 01:00:00,70.688,13.938,0.9844,54.9
83,2,1,2025-06-01 01:00:00,59.709,12.245,0.9261,69.8
84,3,1,2025-06-01 01:00:00,81.493,13.979,0.9597,55.7
85,4,1,2025-06-01 01:00:00,77.001,14.434,0.9984,41.9
86,5,1,2025-06-01 01:00:00,79.578,14.133,0.9044,61.2
87,6,1,2025-06-01 01:00:00,70.928,14.346,0.9687,91.4
88,7,1,2025-06-01 01:00:00,75.876,13.497,0.9431,91.9
89,8,1,2025-06-01 01:00:00,80.063,15.606,0.9663,42.5
90,9,2,2025-06-01 01:00:00,61.202,11.646,0.9667,54.6
91,10,2,2025-06-01 01:00:00,57.647,11.078,0.9192,74.9
92,11,2,2025-06-01 01:00:00,52.074,10.411,0.9174,69.1
93,12,2,2025-06-01 01:00:00,52.546,10.685,0.9304,47.6
94,13,2,2025-06-01 01:00:00,59.199,11.5,0.9322,61.5
95,14,2,2025-06-01 01:00:00,57.269,10.907,0.9794,92.6
96,15,2,2025-06-01 01:00:00,58.326,11.453,0.9284,74.8
97,16,2,2025-06-01 01:00:00,56.281,9.778,0.9952,49.1
98,17,3,2025-06-01 01:00:00,34.88,7.055,0.9147,37.8
99,18,3,2025-06-01 01:00:00,42.972,8.356,0.9768,62.3
100,19,3,2025-06-01 01:00:00,41.797,8.068,0.9718,58.0
101,20,3,2025-06-01 01:00:00,35.952,6.324,0.9688,88.6
102,21,4,2025-06-01 01:00:00,6.526,1.341,0.9778,48.1
103,22,4,2025-06-01 01:00:00,6.42,1.27,0.9465,68.4
104,23,4,2025-06-01 01:00:00,6.634,1.16,0.9133,62.9
105,24,4,2025-06-01 01:00:00,5.904,1.136,0.9317,80.3
106,25,4,2025-06-01 01:00:00,5.736,1.162,0.9892,60.6
107,26,4,2025-06-01 01:00:00,6.614,1.242,0.9159,86.7
108,27,4,2025-06-01 01:00:00,5.751,1.151,0.984,51.6
109,28,4,2025-06-01 01:00:00,6.37,1.206,0.9239,61.4
110,29,5,2025-06-01 01:00:00,85.874,15.404,0.9336,88.6
111,30,5,2025-06-01 01:00:00,69.433,12.223,0.9383,44.2
112,31,5,2025-06-01 01:00:00,72.897,13.602,0.9331,63.0
113,32,5,2025-06-01 01:00:00,68.957,14.02,0.9389,81.2
114,33,6,2025-06-01 01:00:00,33.631,5.744,0.9881,69.5
115,34,6,2025-06-01 01:00:00,29.173,6.06,0.9299,58.4
116,35,6,2025-06-01 01:00:00,33.114,6.736,0.9538,79.1
117,36,6,2025-06-01 01:00:00,32.242,6.639,0.9488,51.4
118,37,7,2025-06-01 01:00:00,149.602,60.921,0.9669,82.9
119,38,7,2025-06-01 01:00:00,161.195,70.738,0.992,93.8
120,39,8,2025-06-01 01:00:00,308.138,136.655,0.9592,74.8
121,40,9,2025-06-01 01:00:00,42.42,7.939,0.9867,45.9
122,41,9,2025-06-01 01:00:00,45.213,8.278,0.9455,55.3
123,42,9,2025-06-01 01:00:00,55.031,9.968,0.9951,60.3
124,43,10,2025-06-01 01:00:00,0.0,0.0,0.9835,41.5
125,44,10,2025-06-01 01:00:00,0.0,0.0,0.9749,26.8
126,45,10,2025-06-01 01:00:00,0.0,0.0,0.9952,32.8
127,46,10,2025-06-01 01:00:00,0.0,0.0,0.9069,58.5
128,47,10,2025-06-01 01:00:00,0.0,0.0,0.904,26.1
129,48,10,2025-06-01 01:00:00,0.0,0.0,0.9247,54.4
130,49,10,2025-06-01 01:00:00,0.0,0.0,0.9621,33.3
131,50,10,2025-06-01 01:00:00,0.0,0.0,0.9474,29.0
132,51,10,2025-06-01 01:00:00,0.0,0.0,0.9948,41.3
133,52,10,2025-06-01 01:00:00,0.0,0.0,0.9256,37.9
134,53,11,2025-06-01 01:00:00,0.0,0.0,0.9606,58.7
135,54,11,2025-06-01 01:00:00,0.0,0.0,0.9718,52.2
136,55,11,2025-06-01 01:00:00,0.0,0.0,0.9164,35.9
137,56,11,2025-06-01 01:00:00,0.0,0.0,0.9579,57.5
138,57,11,2025-06-01 01:00:00,0.0,0.0,0.9576,56.8
139,58,11,2025-06-01 01:00:00,0.0,0.0,0.9375,58.0
140,59,12,2025-06-01 01:00:00,49.282,9.545,0.9831,49.6
141,60,12,2025-06-01 01:00:00,58.091,10.576,0.9684,83.3
142,61,12,2025-06-01 01:00:00,59.84,11.527,0.9041,67.0
143,62,12,2025-06-01 01:00:00,57.461,9.927,0.9648,35.8
144,63,12,2025-06-01 01:00:00,53.197,10.087,0.9434,56.7
145,64,13,2025-06-01 01:00:00,92.473,17.421,0.9153,45.6
146,65,13,2025-06-01 01:00:00,82.658,16.202,0.9616,90.2
147,66,13,2025-06-01 01:00:00,89.37,16.855,0.9826,70.5
148,67,14,2025-06-01 01:00:00,0.0,0.0,0.9322,33.6
149,68,14,2025-06-01 01:00:00,0.0,0.0,0.9935,34.8
150,69,14,2025-06-01 01:00:00,0.0,0.0,0.9451,51.3
151,70,14,2025-06-01 01:00:00,0.0,0.0,0.957,48.4
152,71,14,2025-06-01 01:00:00,0.0,0.0,0.9336,42.3
153,72,14,2025-06-01 01:00:00,0.0,0.0,0.9325,42.1
154,73,14,2025-06-01 01:00:00,0.0,0.0,0.9355,34.0
155,74,15,2025-06-01 01:00:00,8.22,1.593,0.988,68.3
156,75,15,2025-06-01 01:00:00,8.899,1.581,0.9241,59.4
157,76,15,2025-06-01 01:00:00,9.009,1.618,0.9476,77.7
158,77,15,2025-06-01 01:00:00,8.703,1.486,0.9294,59.3
159,78,15,2025-06-01 01:00:00,8.116,1.595,0.9369,68.2
160,79,15,2025-06-01 01:00:00,8.404,1.764,0.955,56.1
161,80,15,2025-06-01 01:00:00,8.719,1.589,0.9231,78.3
162,81,15,2025-06-01 01:00:00,8.323,1.662,0.9951,76.4
163,1,1,2025-06-01 02:00:00,63.445,12.66,0.9276,70.4
164,2,1,2025-06-01 02:00:00,76.404,14.813,0.9981,85.0
165,3,1,2025-06-01 02:00:00,65.831,12.142,0.9302,77.5
166,4,1,2025-06-01 02:00:00,61.965,10.647,0.9055,52.5
167,5,1,2025-06-01 02:00:00,80.594,15.757,0.9753,41.2
168,6,1,2025-06-01 02:00:00,59.36,10.766,0.9479,55.4
169,7,1,2025-06-01 02:00:00,81.082,14.603,0.9862,41.8
170,8,1,2025-06-01 02:00:00,60.569,11.488,0.9577,76.2
171,9,2,2025-06-01 02:00:00,48.089,9.735,0.9949,40.1
172,10,2,2025-06-01 02:00:00,49.779,9.574,0.9416,70.8
173,11,2,2025-06-01 02:00:00,56.267,11.311,0.938,89.5
174,12,2,2025-06-01 02:00:00,50.641,9.801,0.9429,69.1
175,13,2,2025-06-01 02:00:00,46.485,9.688,0.9099,80.8
176,14,2,2025-06-01 02:00:00,56.391,10.183,0.9081,49.4
177,15,2,2025-06-01 02:00:00,55.103,9.713,0.9409,76.4
178,16,2,2025-06-01 02:00:00,53.664,9.193,0.9288,52.0
179,17,3,2025-06-01 02:00:00,41.478,7.169,0.9233,50.9
180,18,3,2025-06-01 02:00:00,40.657,7.871,0.9804,46.9
181,19,3,2025-06-01 02:00:00,32.529,5.822,0.9149,50.9
182,20,3,2025-06-01 02:00:00,32.859,5.664,0.9793,70.7
183,21,4,2025-06-01 02:00:00,6.458,1.336,0.9439,63.1
184,22,4,2025-06-01 02:00:00,5.475,1.019,0.9272,67.4
185,23,4,2025-06-01 02:00:00,5.727,1.111,0.9889,79.1
186,24,4,2025-06-01 02:00:00,6.041,1.033,0.9229,75.5
187,25,4,2025-06-01 02:00:00,6.526,1.263,0.9021,80.9
188,26,4,2025-06-01 02:00:00,6.452,1.246,0.9763,45.5
189,27,4,2025-06-01 02:00:00,5.881,1.104,0.9278,94.8
190,28,4,2025-06-01 02:00:00,5.724,1.16,0.9969,63.2
191,29,5,2025-06-01 02:00:00,77.946,14.252,0.9105,44.6
192,30,5,2025-06-01 02:00:00,78.032,14.812,0.9663,59.0
193,31,5,2025-06-01 02:00:00,87.093,14.934,0.9088,50.1
194,32,5,2025-06-01 02:00:00,70.351,14.134,0.9865,84.5
195,33,6,2025-06-01 02:00:00,24.651,5.048,0.9462,38.3
196,34,6,2025-06-01 02:00:00,29.567,5.763,0.9498,61.5
197,35,6,2025-06-01 02:00:00,25.131,4.541,0.9131,52.3
198,36,6,2025-06-01 02:00:00,33.012,6.252,0.9029,72.8
199,37,7,2025-06-01 02:00:00,164.847,70.832,0.9311,35.8
200,38,7,2025-06-01 02:00:00,145.828,57.708,0.9841,41.8
201,39,8,2025-06-01 02:00:00,348.833,148.373,0.9154,91.0
202,40,9,2025-06-01 02:00:00,45.716,9.062,0.9415,63.9
203,41,9,2025-06-01 02:00:00,48.574,9.145,0.9145,46.4
204,42,9,2025-06-01 02:00:00,50.59,10.11,0.9137,39.2
205,43,10,2025-06-01 02:00:00,0.0,0.0,0.9773,54.9
206,44,10,2025-06-01 02:00:00,0.0,0.0,0.934,52.6
207,45,10,2025-06-01 02:00:00,0.0,0.0,0.9267,25.1
208,46,10,2025-06-01 02:00:00,0.0,0.0,0.9726,54.3
209,47,10,2025-06-01 02:00:00,0.0,0.0,0.958,48.1
210,48,10,2025-06-01 02:00:00,0.0,0.0,0.9865,40.6
211,49,10,2025-06-01 02:00:00,0.0,0.0,0.9484,36.6
212,50,10,2025-06-01 02:00:00,0.0,0.0,0.9763,38.2
213,51,10,2025-06-01 02:00:00,0.0,0.0,0.9933,55.4
214,52,10,2025-06-01 02:00:00,0.0,0.0,0.9981,33.4
215,53,11,2025-06-01 02:00:00,0.0,0.0,0.9383,55.0
216,54,11,2025-06-01 02:00:00,0.0,0.0,0.9411,36.1
217,55,11,2025-06-01 02:00:00,0.0,0.0,0.9473,57.0
218,56,11,2025-06-01 02:00:00,0.0,0.0,0.9381,59.6
219,57,11,2025-06-01 02:00:00,0.0,0.0,0.9792,47.8
220,58,11,2025-06-01 02:00:00,0.0,0.0,0.9152,58.8
221,59,12,2025-06-01 02:00:00,48.009,10.015,0.9332,41.0
222,60,12,2025-06-01 02:00:00,60.702,10.561,0.991,35.9
223,61,12,2025-06-01 02:00:00,48.325,9.899,0.997,39.5
224,62,12,2025-06-01 02:00:00,59.58,10.76,0.9623,58.8
225,63,12,2025-06-01 02:00:00,47.198,8.644,0.9674,67.0
226,64,13,2025-06-01 02:00:00,94.134,18.363,0.9887,64.3
227,65,13,2025-06-01 02:00:00,83.169,16.193,0.9235,76.1
228,66,13,2025-06-01 02:00:00,76.437,13.69,0.909,93.7
229,67,14,2025-06-01 02:00:00,0.0,0.0,0.976,49.6
230,68,14,2025-06-01 02:00:00,0.0,0.0,0.9101,30.8
231,69,14,2025-06-01 02:00:00,0.0,0.0,0.9299,26.0
232,70,14,2025-06-01 02:00:00,0.0,0.0,0.9324,27.0
233,71,14,2025-06-01 02:00:00,0.0,0.0,0.9358,40.1
234,72,14,2025-06-01 02:00:00,0.0,0.0,0.9244,39.4
235,73,14,2025-06-01 02:00:00,0.0,0.0,0.9682,31.3
236,74,15,2025-06-01 02:00:00,7.921,1.54,0.9383,76.0
237,75,15,2025-06-01 02:00:00,8.844,1.71,0.9232,73.3
238,76,15,2025-06-01 02:00:00,8.735,1.718,0.9899,62.9
239,77,15,2025-06-01 02:00:00,8.243,1.582,0.9074,91.7
240,78,15,2025-06-01 02:00:00,10.247,1.865,0.9962,76.4
241,79,15,2025-06-01 02:00:00,8.727,1.589,0.9999,86.2
242,80,15,2025-06-01 02:00:00,7.725,1.431,0.9359,52.8
243,81,15,2025-06-01 02:00:00,9.421,1.61,0.983,58.7
244,1,1,2025-06-01 03:00:00,59.265,12.126,0.9778,93.4
245,2,1,2025-06-01 03:00:00,79.831,15.951,0.9833,89.2
246,3,1,2025-06-01 03:00:00,76.758,13.755,0.9802,48.1
247,4,1,2025-06-01 03:00:00,63.413,11.416,0.9756,81.0
248,5,1,2025-06-01 03:00:00,74.595,13.089,0.9097,72.6
249,6,1,2025-06-01 03:00:00,59.978,12.088,0.9033,56.9
250,7,1,2025-06-01 03:00:00,62.075,12.811,0.9327,59.9
251,8,1,2025-06-01 03:00:00,63.656,12.824,0.9876,57.0
252,9,2,2025-06-01 03:00:00,54.223,9.809,0.9165,89.8
253,10,2,2025-06-01 03:00:00,61.975,12.934,0.9295,87.2
254,11,2,2025-06-01 03:00:00,59.523,11.234,0.9075,80.2
255,12,2,2025-06-01 03:00:00,49.383,9.731,0.9674,58.8
256,13,2,2025-06-01 03:00:00,60.25,11.586,0.909,58.7
257,14,2,2025-06-01 03:00:00,50.064,8.758,0.9369,79.9
258,15,2,2025-06-01 03:00:00,50.024,9.266,0.9639,57.3
259,16,2,2025-06-01 03:00:00,57.255,10.813,0.962,91.6
260,17,3,2025-06-01 03:00:00,35.091,6.822,0.9648,73.1
261,18,3,2025-06-01 03:00:00,36.728,7.274,0.9649,42.0
262,19,3,2025-06-01 03:00:00,31.695,5.435,0.9996,42.0
263,20,3,2025-06-01 03:00:00,33.971,6.506,0.9389,57.3
264,21,4,2025-06-01 03:00:00,6.694,1.324,0.954,70.2
265,22,4,2025-06-01 03:00:00,6.273,1.289,0.9655,85.0
266,23,4,2025-06-01 03:00:00,6.064,1.259,0.928,76.4
267,24,4,2025-06-01 03:00:00,5.311,0.997,0.9236,56.8
268,25,4,2025-06-01 03:00:00,6.754,1.247,0.9902,73.7
269,26,4,2025-06-01 03:00:00,5.014,0.908,0.9968,91.9
270,27,4,2025-06-01 03:00:00,6.458,1.122,0.9212,73.4
271,28,4,2025-06-01 03:00:00,6.735,1.159,0.9334,94.3
272,29,5,2025-06-01 03:00:00,87.781,15.643,0.983,68.3
273,30,5,2025-06-01 03:00:00,82.571,16.722,0.9233,81.5
274,31,5,2025-06-01 03:00:00,87.824,17.024,0.9277,94.0
275,32,5,2025-06-01 03:00:00,92.99,17.818,0.9799,41.6
276,33,6,2025-06-01 03:00:00,32.875,5.762,0.9358,82.3
277,34,6,2025-06-01 03:00:00,30.236,5.159,0.9265,42.6
278,35,6,2025-06-01 03:00:00,28.641,4.999,0.9064,61.9
279,36,6,2025-06-01 03:00:00,28.081,5.441,0.9452,48.3
280,37,7,2025-06-01 03:00:00,155.894,67.176,0.9909,74.5
281,38,7,2025-06-01 03:00:00,140.659,59.785,0.9031,94.9
282,39,8,2025-06-01 03:00:00,339.001,138.936,0.9108,77.7
283,40,9,2025-06-01 03:00:00,48.12,9.911,0.9322,43.9
284,41,9,2025-06-01 03:00:00,43.09,8.401,0.9585,77.7
285,42,9,2025-06-01 03:00:00,47.127,9.138,0.9295,65.3
286,43,10,2025-06-01 03:00:00,0.0,0.0,0.943,52.8
287,44,10,2025-06-01 03:00:00,0.0,0.0,0.9114,47.9
288,45,10,2025-06-01 03:00:00,0.0,0.0,0.9878,44.3
289,46,10,2025-06-01 03:00:00,0.0,0.0,0.9865,40.1
290,47,10,2025-06-01 03:00:00,0.0,0.0,0.9888,39.5
291,48,10,2025-06-01 03:00:00,0.0,0.0,0.9827,39.0
292,49,10,2025-06-01 03:00:00,0.0,0.0,0.973,35.9
293,50,10,2025-06-01 03:00:00,0.0,0.0,0.9313,33.9
294,51,10,2025-06-01 03:00:00,0.0,0.0,0.9954,49.0
295,52,10,2025-06-01 03:00:00,0.0,0.0,0.9474,28.2
296,53,11,2025-06-01 03:00:00,0.0,0.0,0.9085,40.1
297,54,11,2025-06-01 03:00:00,0.0,0.0,0.9745,38.0
298,55,11,2025-06-01 03:00:00,0.0,0.0,0.913,27.1
299,56,11,2025-06-01 03:00:00,0.0,0.0,0.9957,44.7
300,57,11,2025-06-01 03:00:00,0.0,0.0,0.967,39.4
301,58,11,2025-06-01 03:00:00,0.0,0.0,0.9874,57.9
302,59,12,2025-06-01 03:00:00,53.248,11.003,0.9051,52.3
303,60,12,2025-06-01 03:00:00,51.297,8.933,0.9507,44.3
304,61,12,2025-06-01 03:00:00,54.295,11.07,0.935,68.4
305,62,12,2025-06-01 03:00:00,47.809,8.66,0.9226,60.7
306,63,12,2025-06-01 03:00:00,55.686,11.176,0.9622,75.5
307,64,13,2025-06-01 03:00:00,83.586,16.246,0.9658,76.6
308,65,13,2025-06-01 03:00:00,69.578,12.589,0.9762,90.3
309,66,13,2025-06-01 03:00:00,78.127,13.848,0.9143,74.4
310,67,14,2025-06-01 03:00:00,0.0,0.0,0.907,50.9
311,68,14,2025-06-01 03:00:00,0.0,0.0,0.9972,28.2
312,69,14,2025-06-01 03:00:00,0.0,0.0,0.953,38.2
313,70,14,2025-06-01 03:00:00,0.0,0.0,0.9454,30.5
314,71,14,2025-06-01 03:00:00,0.0,0.0,0.9312,36.4
315,72,14,2025-06-01 03:00:00,0.0,0.0,0.9941,45.9
316,73,14,2025-06-01 03:00:00,0.0,0.0,0.9883,30.4
317,74,15,2025-06-01 03:00:00,9.579,1.647,0.9082,61.6
318,75,15,2025-06-01 03:00:00,8.634,1.677,0.9414,47.9
319,76,15,2025-06-01 03:00:00,8.886,1.633,0.9111,75.7
320,77,15,2025-06-01 03:00:00,9.118,1.742,0.9308,48.2
321,78,15,2025-06-01 03:00:00,10.237,1.763,0.9204,91.7
322,79,15,2025-06-01 03:00:00,9.616,1.929,0.9289,42.2
323,80,15,2025-06-01 03:00:00,8.844,1.656,0.9129,67.0
324,81,15,2025-06-01 03:00:00,8.079,1.554,0.9668,56.3
325,1,1,2025-06-01 04:00:00,68.128,13.604,0.9436,62.6
326,2,1,2025-06-01 04:00:00,60.854,11.107,0.9429,59.3
327,3,1,2025-06-01 04:00:00,73.668,13.377,0.9405,93.0
328,4,1,2025-06-01 04:00:00,62.997,13.097,0.946,76.4
329,5,1,2025-06-01 04:00:00,67.326,12.622,0.9106,61.1
330,6,1,2025-06-01 04:00:00,68.205,11.809,0.9871,79.7
331,7,1,2025-06-01 04:00:00,64.129,12.9,0.9076,73.0
332,8,1,2025-06-01 04:00:00,71.171,12.651,0.9776,56.1
333,9,2,2025-06-01 04:00:00,62.221,12.184,0.9148,41.2
334,10,2,2025-06-01 04:00:00,49.915,8.832,0.9153,80.5
335,11,2,2025-06-01 04:00:00,46.75,9.726,0.9628,62.8
336,12,2,2025-06-01 04:00:00,55.308,10.684,0.9681,87.9
337,13,2,2025-06-01 04:00:00,56.697,11.876,0.9323,93.3
338,14,2,2025-06-01 04:00:00,50.97,9.561,0.9469,72.9
339,15,2,2025-06-01 04:00:00,59.384,11.5,0.9352,39.5
340,16,2,2025-06-01 04:00:00,53.521,9.179,0.9369,52.2
341,17,3,2025-06-01 04:00:00,38.896,8.133,0.909,70.6
342,18,3,2025-06-01 04:00:00,35.77,6.911,0.9954,79.3
343,19,3,2025-06-01 04:00:00,31.643,6.53,0.9572,46.3
344,20,3,2025-06-01 04:00:00,38.419,7.302,0.9958,62.0
345,21,4,2025-06-01 04:00:00,6.433,1.309,0.9982,40.1
346,22,4,2025-06-01 04:00:00,6.121,1.05,0.9708,94.5
347,23,4,2025-06-01 04:00:00,5.89,1.145,0.9364,90.1
348,24,4,2025-06-01 04:00:00,5.632,1.132,0.9679,38.1
349,25,4,2025-06-01 04:00:00,6.092,1.117,0.933,68.5
350,26,4,2025-06-01 04:00:00,5.631,1.014,0.9852,92.9
351,27,4,2025-06-01 04:00:00,6.039,1.063,0.9082,74.8
352,28,4,2025-06-01 04:00:00,6.633,1.21,0.9656,74.7
353,29,5,2025-06-01 04:00:00,70.689,14.021,0.9085,68.5
354,30,5,2025-06-01 04:00:00,84.054,15.394,0.9128,77.2
355,31,5,2025-06-01 04:00:00,91.94,19.297,0.9912,40.6
356,32,5,2025-06-01 04:00:00,84.754,16.132,0.9018,53.5
357,33,6,2025-06-01 04:00:00,33.68,6.186,0.9766,46.5
358,34,6,2025-06-01 04:00:00,34.144,6.016,0.9296,82.3
359,35,6,2025-06-01 04:00:00,29.465,5.645,0.9739,66.6
360,36,6,2025-06-01 04:00:00,30.931,6.343,0.9618,70.8
361,37,7,2025-06-01 04:00:00,133.497,52.419,0.9693,72.5
362,38,7,2025-06-01 04:00:00,169.869,73.126,0.9044,56.9
363,39,8,2025-06-01 04:00:00,326.415,146.192,0.9611,80.1
364,40,9,2025-06-01 04:00:00,53.512,9.598,0.9239,92.9
365,41,9,2025-06-01 04:00:00,53.521,11.034,0.9194,75.7
366,42,9,2025-06-01 04:00:00,50.131,9.406,0.9769,81.7
367,43,10,2025-06-01 04:00:00,0.0,0.0,0.9503,39.7
368,44,10,2025-06-01 04:00:00,0.0,0.0,0.9162,32.0
369,45,10,2025-06-01 04:00:00,0.0,0.0,0.9605,55.6
370,46,10,2025-06-01 04:00:00,0.0,0.0,0.9052,41.8
371,47,10,2025-06-01 04:00:00,0.0,0.0,0.9371,57.7
372,48,10,2025-06-01 04:00:00,0.0,0.0,0.9711,43.1
373,49,10,2025-06-01 04:00:00,0.0,0.0,0.9125,27.9
374,50,10,2025-06-01 04:00:00,0.0,0.0,0.916,40.7
375,51,10,2025-06-01 04:00:00,0.0,0.0,0.9513,54.1
376,52,10,2025-06-01 04:00:00,0.0,0.0,0.9092,56.9
377,53,11,2025-06-01 04:00:00,0.0,0.0,0.9817,56.0
378,54,11,2025-06-01 04:00:00,0.0,0.0,0.993,39.5
379,55,11,2025-06-01 04:00:00,0.0,0.0,0.9396,38.1
380,56,11,2025-06-01 04:00:00,0.0,0.0,0.9386,27.9
381,57,11,2025-06-01 04:00:00,0.0,0.0,0.9225,36.2
382,58,11,2025-06-01 04:00:00,0.0,0.0,0.9099,50.0
383,59,12,2025-06-01 04:00:00,51.701,9.091,0.9038,90.0
384,60,12,2025-06-01 04:00:00,54.123,11.0,0.9759,63.1
385,61,12,2025-06-01 04:00:00,56.646,11.682,0.9019,47.9
386,62,12,2025-06-01 04:00:00,48.42,10.052,0.9609,60.4
387,63,12,2025-06-01 04:00:00,59.486,10.678,0.9122,49.3
